threads mvapich2 mvapich2+mt pthread+hash  abt+hash  fult+hash
1 1.33  1.43  3.52  1.72  1.34
2 1.33  1.42  3.51  1.72  1.34
4 1.33  1.42  3.51  1.72  1.34
8 1.34  1.42  3.51  1.72  1.34
16  1.36  1.43  3.52  1.72  1.34
32  1.37  1.46  3.55  1.76  1.38
64  1.42  1.52  3.59  1.80  1.43
128 1.97  2.07  4.15  2.36  2.03
256 2.06  2.16  4.26  2.48  2.13
512 2.22  2.31  4.41  2.65  2.29
1024  2.51  2.62  4.71  2.94  2.58
2048  3.05  3.23  5.29  3.50  3.14
4096  3.58  3.79  5.88  4.06  3.70
8192  4.71  5.01  6.91  5.04  4.69
16384 6.91  7.41  9.32  7.23  6.78
32768 10.71 10.81 11.88 10.09 9.71
65536 15.88 15.98 17.12 15.25 14.89
131072  26.21 26.30 27.38 25.56 25.18
262144  46.87 46.89 48.00 46.12 45.76
524288  88.11 88.07 89.21 87.29 87.01
1048576 170.61  170.47  171.54  169.63  169.49
2097152 335.61  335.24  337.55  335.58  335.33
4194304 670.18  669.36  671.84  669.88  670.01
