threads mvapich2+mt pthread+hash  abt+hash  fult+hash
1 37.15 5.41  2.17  1.58
2 38.90 5.44  2.14  1.57
4 38.86 5.44  2.19  1.57
8 40.09 5.44  2.23  1.57
16  42.03 5.43  2.16  1.57
32  43.12 5.53  2.22  1.65
64  40.17 5.54  2.29  1.69
128 46.37 5.69  2.40  1.87
256 39.72 6.18  2.92  2.40
512 44.39 6.28  3.11  2.56
1024  43.29 6.51  3.43  2.85
2048  48.04 7.09  3.95  3.41
4096  49.93 7.71  4.50  3.97
8192  60.52 8.97  5.57  4.98
16384 77.19 11.69 7.70  7.17
32768 91.63 12.44 9.57  9.12
65536 95.65 17.56 14.73 14.28
131072  108.47  27.74 25.11 24.61
262144  115.07  48.46 45.71 45.30
524288  138.74  91.21 87.01 86.31
1048576 208.02  171.91  169.00  169.32
2097152 372.15  338.17  335.71  334.53
4194304 708.53  672.28  668.85  669.71
