nthreads med uq lq uw lw
 1 0.090 0.101 0.082 0.129 0.063
 1 0.140 0.154 0.131 0.188 0.099
 1 0.165 0.180 0.155 0.217 0.123
 2 0.093 0.103 0.086 0.128 0.060
 2 0.205 0.256 0.182 0.368 0.133
 2 0.225 0.250 0.207 0.315 0.155
 4 0.097 0.107 0.087 0.137 0.057
 4 0.363 0.460 0.301 0.698 0.173
 4 0.287 0.326 0.260 0.425 0.197
 6 0.104 0.117 0.093 0.152 0.062
 6 0.524 0.641 0.432 0.954 0.212
 6 0.349 0.392 0.319 0.503 0.210
 8 0.104 0.118 0.093 0.156 0.059
 8 0.705 0.816 0.594 1.147 0.325
 8 0.434 0.490 0.388 0.644 0.259
 10 0.108 0.120 0.097 0.156 0.062
 10 1.279 1.508 1.096 2.125 0.504
 10 0.587 0.650 0.536 0.822 0.364
 12 0.113 0.126 0.101 0.164 0.063
 12 1.878 2.231 1.573 3.217 0.906
 12 0.711 0.787 0.642 1.005 0.423
 14 0.122 0.137 0.108 0.181 0.064
 14 2.412 2.842 2.026 4.066 1.031
 14 0.816 0.914 0.736 1.180 0.524
