threads,pthread+hash,abt+hash,fult+hash
8,4.24685,2.00961,1.66436
16,4.27142,2.03862,1.64443
32,4.29907,2.00555,1.636
64,4.34028,2.03502,1.63983
128,4.37077,2.03751,1.64196
256,4.40755,2.0236,1.64067
512,4.45247,2.04195,1.63745
1024,4.49661,2.07253,1.63643
2048,4.86164,2.04282,1.64806
4096,7.15872,2.07415,1.66715
8192,7.87851,2.13784,1.71376
16384,9.3884,2.24514,1.79268
32768,,2.32251,1.89152
65536,,2.54342,2.11036
131072,,3.03391,2.58972
262144,,4.12689,3.66242
524288,,7.65835,6.6643
1048576,,19.8492,18.8129
