nthreads med uq lq uw lw
 1 0.043 0.043 0.039 0.048 0.038
 1 0.129 0.129 0.129 0.131 0.127
 1 0.160 0.160 0.160 0.160 0.160
 2 0.039 0.043 0.039 0.048 0.038
 2 0.125 0.125 0.121 0.130 0.115
 2 0.227 0.235 0.226 0.247 0.218
 4 0.039 0.043 0.039 0.048 0.038
 4 0.109 0.117 0.105 0.136 0.097
 4 0.324 0.336 0.308 0.375 0.277
 6 0.039 0.039 0.039 0.039 0.039
 6 0.109 0.129 0.102 0.171 0.093
 6 0.484 0.504 0.468 0.557 0.415
 8 0.039 0.039 0.039 0.039 0.039
 8 0.121 0.148 0.110 0.205 0.087
 8 0.715 0.731 0.699 0.779 0.652
 10 0.035 0.039 0.035 0.043 0.031
 10 0.141 0.175 0.126 0.249 0.089
 10 1.117 1.132 1.098 1.184 1.046
 12 0.035 0.035 0.035 0.035 0.035
 12 0.160 0.254 0.141 0.425 0.087
 12 1.460 1.476 1.442 1.528 1.390
 14 0.034 0.035 0.032 0.041 0.027
 14 0.191 0.274 0.156 0.450 0.090
 14 1.699 1.730 1.668 1.824 1.574
