nthreads med uq lq uw lw
1 0.027 0.028 0.027 0.029 0.027
 1 0.078 0.078 0.078 0.078 0.078
 1 0.109 0.110 0.109 0.111 0.108
 2 0.027 0.028 0.027 0.029 0.027
 2 0.086 0.089 0.086 0.095 0.082
 2 0.133 0.137 0.133 0.142 0.129
 4 0.027 0.028 0.027 0.029 0.027
 4 0.075 0.078 0.074 0.085 0.070
 4 0.172 0.172 0.171 0.174 0.170
 6 0.027 0.028 0.027 0.029 0.026
 6 0.094 0.121 0.087 0.173 0.082
 6 0.262 0.265 0.262 0.271 0.256
 8 0.028 0.031 0.027 0.036 0.027
 8 0.093 0.117 0.075 0.182 0.070
 8 0.492 0.495 0.488 0.507 0.477
 10 0.027 0.028 0.027 0.029 0.026
 10 0.137 0.160 0.114 0.230 0.082
 10 0.894 0.899 0.890 0.911 0.878
 12 0.027 0.028 0.027 0.029 0.026
 12 0.136 0.183 0.082 0.336 0.070
 12 1.266 1.273 1.254 1.293 1.227
 14 0.027 0.028 0.027 0.029 0.026
 14 0.215 0.274 0.192 0.397 0.086
 14 1.273 1.309 1.242 1.408 1.143
